,date,日平均温度(C),日降雨量(毫米)
0,2020-01-01,4.8888888888888875,1.5239999999999998
1,2020-01-02,6.833333333333332,0.508
2,2020-01-03,7.777777777777778,3.8099999999999996
3,2020-01-04,8.333333333333334,0.508
4,2020-01-05,11.222222222222223,0
5,2020-01-06,10.277777777777779,0
6,2020-01-07,4.61111111111111,6.858
7,2020-01-08,4.2777777777777795,0
8,2020-01-09,3.944444444444445,2.794
9,2020-01-10,5.555555555555555,17.779999999999998
10,2020-01-11,4.166666666666667,3.0479999999999996
11,2020-01-12,3.111111111111112,0
12,2020-01-13,4.944444444444444,0
13,2020-01-14,3.611111111111111,0
14,2020-01-15,3.277777777777777,17.525999999999996
15,2020-01-16,3.111111111111112,7.874
16,2020-01-17,2.833333333333334,0.508
17,2020-01-18,3.555555555555555,0
18,2020-01-19,4.777777777777779,0
19,2020-01-20,5.999999999999998,0
20,2020-01-21,6.333333333333332,13.97
21,2020-01-22,6.611111111111111,18.796
22,2020-01-23,7.444444444444445,7.112
23,2020-01-24,6.666666666666667,3.8099999999999996
24,2020-01-25,5.222222222222221,8.889999999999999
25,2020-01-26,3.888888888888889,23.622
26,2020-01-27,2.3888888888888875,0.508
27,2020-01-28,3.555555555555555,0
28,2020-01-29,5.777777777777777,0.254
29,2020-01-30,4.000000000000002,0
30,2020-01-31,4.777777777777779,0
31,2020-02-01,8.38888888888889,0
32,2020-02-02,8.166666666666668,0
33,2020-02-03,7.222222222222222,0
34,2020-02-04,9.5,0
35,2020-02-05,8.38888888888889,0
36,2020-02-06,4.444444444444445,9.398
37,2020-02-07,5.38888888888889,2.2859999999999996
38,2020-02-08,6.388888888888889,0
39,2020-02-09,6.166666666666668,0
40,2020-02-10,10.222222222222221,5.08
41,2020-02-11,9.444444444444445,5.588
42,2020-02-12,11.944444444444445,0.254
43,2020-02-13,11.277777777777777,2.032
44,2020-02-14,12.555555555555555,7.112
45,2020-02-15,1.8888888888888882,10.921999999999999
46,2020-02-16,1.7777777777777795,0
47,2020-02-17,4.333333333333332,0
48,2020-02-18,6.222222222222224,0
49,2020-02-19,7.5,0
50,2020-02-20,10.999999999999998,0
51,2020-02-21,7.944444444444443,0
52,2020-02-22,10.833333333333334,0
53,2020-02-23,12.388888888888888,0
54,2020-02-24,20.444444444444443,0
55,2020-02-25,15.333333333333334,1.27
56,2020-02-26,9.38888888888889,7.365999999999999
57,2020-02-27,10.055555555555555,0
58,2020-02-28,8.11111111111111,16.764
59,2020-02-29,9.444444444444445,2.2859999999999996
60,2020-03-01,9.000000000000002,0.254
61,2020-03-02,8.666666666666666,0.254
62,2020-03-03,9.555555555555557,0
63,2020-03-04,9.38888888888889,0
64,2020-03-05,9.055555555555554,0
65,2020-03-06,10.388888888888891,0.7619999999999999
66,2020-03-07,13.333333333333334,0
67,2020-03-08,13.722222222222223,5.842
68,2020-03-09,10.277777777777779,7.619999999999999
69,2020-03-10,8.88888888888889,0
70,2020-03-11,12.666666666666664,0
71,2020-03-12,13.722222222222223,1.778
72,2020-03-13,10.444444444444443,0
73,2020-03-14,10.555555555555555,0
74,2020-03-15,14.5,0
75,2020-03-16,14.5,0
76,2020-03-17,17,0
77,2020-03-18,18.111111111111107,0
78,2020-03-19,15.944444444444445,0
79,2020-03-20,18.944444444444443,0
80,2020-03-21,20.555555555555557,44.704
81,2020-03-22,16.166666666666668,0
82,2020-03-23,15.11111111111111,0
83,2020-03-24,16.77777777777778,0
84,2020-03-25,19.88888888888889,20.32
85,2020-03-26,16.77777777777778,22.605999999999998
86,2020-03-27,7.88888888888889,14.985999999999999
87,2020-03-28,6.0555555555555545,6.604
88,2020-03-29,6.166666666666668,10.16
89,2020-03-30,8.722222222222223,1.5239999999999998
90,2020-03-31,10,11.937999999999999
91,2020-04-01,12.333333333333336,0.254
92,2020-04-02,13.777777777777777,0
93,2020-04-03,13.11111111111111,0
94,2020-04-04,14.333333333333334,0
95,2020-04-05,12.388888888888888,0
96,2020-04-06,13.055555555555555,0
97,2020-04-07,15.222222222222221,0
98,2020-04-08,17.77777777777778,0
99,2020-04-09,19.111111111111114,0
100,2020-04-10,16.555555555555557,13.97
101,2020-04-11,8.222222222222221,6.095999999999999
102,2020-04-12,14.11111111111111,0
103,2020-04-13,14.38888888888889,0
104,2020-04-14,16.88888888888889,0
105,2020-04-15,19.111111111111114,0
106,2020-04-16,24.222222222222218,0.254
107,2020-04-17,19.27777777777778,0
108,2020-04-18,14.722222222222221,30.987999999999996
109,2020-04-19,13.166666666666668,2.2859999999999996
110,2020-04-20,16.444444444444443,7.365999999999999
111,2020-04-21,12.666666666666664,0.508
112,2020-04-22,16.61111111111111,0
113,2020-04-23,15.333333333333334,0
114,2020-04-24,17.77777777777778,0
115,2020-04-25,21.27777777777778,0
116,2020-04-26,21.722222222222218,0.254
117,2020-04-27,15.277777777777779,0.508
118,2020-04-28,18.5,0
119,2020-04-29,23.5,0
120,2020-04-30,27.055555555555557,0
121,2020-05-01,21.333333333333336,2.032
122,2020-05-02,26.38888888888889,0
123,2020-05-03,28.444444444444443,0
124,2020-05-04,28.055555555555557,0
125,2020-05-05,17.944444444444443,10.16
126,2020-05-06,19.222222222222218,0.254
127,2020-05-07,22.722222222222225,0
128,2020-05-08,22.944444444444443,3.8099999999999996
129,2020-05-09,19.055555555555557,0
130,2020-05-10,19.66666666666667,0
131,2020-05-11,21.666666666666668,0
132,2020-05-12,22.944444444444443,0
133,2020-05-13,25.444444444444443,0
134,2020-05-14,22.944444444444443,55.88
135,2020-05-15,22.5,1.5239999999999998
136,2020-05-16,25,0
137,2020-05-17,27.22222222222222,0
138,2020-05-18,21.77777777777778,0
139,2020-05-19,22.61111111111111,0
140,2020-05-20,25.777777777777782,0
141,2020-05-21,24.222222222222218,0
142,2020-05-22,24.111111111111114,0
143,2020-05-23,25.444444444444443,0
144,2020-05-24,26.999999999999996,0
145,2020-05-25,20.666666666666668,9.652
146,2020-05-26,20.888888888888886,0
147,2020-05-27,24.444444444444443,0
148,2020-05-28,25.666666666666668,0
149,2020-05-29,20.72222222222222,12.191999999999998
150,2020-05-30,20.611111111111107,0.254
151,2020-05-31,25.833333333333332,0
152,2020-06-01,27.88888888888889,0
153,2020-06-02,27.83333333333333,0.254
154,2020-06-03,24.777777777777775,0.254
155,2020-06-04,27.22222222222222,0
156,2020-06-05,22.61111111111111,26.162
157,2020-06-06,24.61111111111111,0
158,2020-06-07,24.72222222222222,0
159,2020-06-08,25.833333333333332,0
160,2020-06-09,28.000000000000004,0
161,2020-06-10,26.055555555555557,17.272000000000002
162,2020-06-11,27.61111111111111,0
163,2020-06-12,28.88888888888889,3.0479999999999996
164,2020-06-13,28.333333333333332,9.652
165,2020-06-14,27.22222222222222,3.556
166,2020-06-15,25.500000000000004,25.907999999999998
167,2020-06-16,25.33333333333333,0
168,2020-06-17,30.555555555555557,0
169,2020-06-18,21.055555555555557,21.843999999999998
170,2020-06-19,23.666666666666664,0.508
171,2020-06-20,21.27777777777778,22.86
172,2020-06-21,21.11111111111111,73.406
173,2020-06-22,22.77777777777778,12.953999999999999
174,2020-06-23,23.555555555555557,21.081999999999997
175,2020-06-24,25.777777777777782,0
176,2020-06-25,25.888888888888886,0
177,2020-06-26,28.72222222222222,0
178,2020-06-27,26.888888888888893,56.388000000000005
179,2020-06-28,27.333333333333332,16.764
180,2020-06-29,23.72222222222222,23.368
181,2020-06-30,27.055555555555557,0
182,2020-07-01,27.333333333333332,0
183,2020-07-02,24.777777777777775,14.985999999999999
184,2020-07-03,25.055555555555554,1.27
185,2020-07-04,25.166666666666668,1.016
186,2020-07-05,24.555555555555557,115.57
187,2020-07-06,24.777777777777775,118.618
188,2020-07-07,27.38888888888889,0
189,2020-07-08,27.11111111111111,11.43
190,2020-07-09,25.166666666666668,0.508
191,2020-07-10,25.611111111111107,25.907999999999998
192,2020-07-11,26.38888888888889,22.86
193,2020-07-12,29.166666666666668,8.382
194,2020-07-13,22.666666666666668,52.832
195,2020-07-14,24.111111111111114,0.7619999999999999
196,2020-07-15,21.166666666666664,102.10799999999999
197,2020-07-16,22.055555555555557,43.942
198,2020-07-17,24,68.072
199,2020-07-18,25.11111111111111,38.354
200,2020-07-19,23.77777777777778,41.148
201,2020-07-20,22.277777777777775,21.59
202,2020-07-21,25.38888888888889,0
203,2020-07-22,30.833333333333332,0
204,2020-07-23,27.61111111111111,14.224
205,2020-07-24,22.333333333333332,14.224
206,2020-07-25,24.222222222222218,9.906
207,2020-07-26,25.444444444444443,10.921999999999999
208,2020-07-27,25.777777777777782,30.733999999999998
209,2020-07-28,26.11111111111111,23.875999999999998
210,2020-07-29,27.22222222222222,0.254
211,2020-07-30,27.61111111111111,0.254
212,2020-07-31,30.555555555555557,0
213,2020-08-01,31.77777777777778,0
214,2020-08-02,31.333333333333332,0
215,2020-08-03,32.05555555555556,0
216,2020-08-04,29.72222222222222,3.556
217,2020-08-05,32.05555555555556,0
218,2020-08-06,31.11111111111111,0
219,2020-08-07,30.833333333333332,0.7619999999999999
220,2020-08-08,30.555555555555557,0
221,2020-08-09,29.444444444444443,0
222,2020-08-10,26.722222222222218,12.191999999999998
223,2020-08-11,29,15.493999999999998
224,2020-08-12,29.444444444444443,0
225,2020-08-13,30.944444444444443,0
226,2020-08-14,31.166666666666668,0
227,2020-08-15,32.5,0
228,2020-08-16,30.944444444444443,0
229,2020-08-17,31.77777777777778,0
230,2020-08-18,32.05555555555556,0
231,2020-08-19,32.22222222222222,0
232,2020-08-20,29.166666666666668,3.0479999999999996
233,2020-08-21,29,0
234,2020-08-22,30.22222222222222,0
235,2020-08-23,30.555555555555557,0.254
236,2020-08-24,31.88888888888889,0
237,2020-08-25,29.22222222222222,0
238,2020-08-26,27.944444444444443,0.508
239,2020-08-27,28.88888888888889,0
240,2020-08-28,27.16666666666667,7.874
241,2020-08-29,27.277777777777775,0
242,2020-08-30,29.944444444444443,7.112
243,2020-08-31,29.27777777777778,0
244,2020-09-01,26.944444444444443,9.398
245,2020-09-02,25.72222222222222,0
246,2020-09-03,25.944444444444443,0
247,2020-09-04,27.722222222222225,0
248,2020-09-05,27.333333333333332,0
249,2020-09-06,26.666666666666668,0
250,2020-09-07,27.722222222222225,0
251,2020-09-08,27.944444444444443,0
252,2020-09-09,27.77777777777778,0
253,2020-09-10,23.5,13.208
254,2020-09-11,24.61111111111111,0
255,2020-09-12,25.222222222222225,0
256,2020-09-13,23.77777777777778,0.254
257,2020-09-14,24,1.27
258,2020-09-15,21.666666666666668,29.463999999999995
259,2020-09-16,23.72222222222222,42.418
260,2020-09-17,18.666666666666664,50.291999999999994
261,2020-09-18,17.5,1.5239999999999998
262,2020-09-19,20.555555555555557,0
263,2020-09-20,22.5,0
264,2020-09-21,20.33333333333333,5.08
265,2020-09-22,19.27777777777778,11.684
266,2020-09-23,20.33333333333333,0.254
267,2020-09-24,21.888888888888893,0
268,2020-09-25,22.722222222222225,0
269,2020-09-26,22.277777777777775,0
270,2020-09-27,22.88888888888889,0
271,2020-09-28,23.5,0
272,2020-09-29,23.333333333333332,0
273,2020-09-30,22.555555555555554,0
274,2020-10-01,23.444444444444443,0
275,2020-10-02,24.833333333333332,0
276,2020-10-03,20.222222222222225,0
277,2020-10-04,17.11111111111111,7.874
278,2020-10-05,17.27777777777778,0
279,2020-10-06,17.72222222222222,0
280,2020-10-07,18.277777777777782,0.508
281,2020-10-08,19.444444444444443,0
282,2020-10-09,19.27777777777778,0
283,2020-10-10,19.444444444444443,0
284,2020-10-11,20.38888888888889,0
285,2020-10-12,20.555555555555557,0
286,2020-10-13,20.777777777777782,0
287,2020-10-14,19.444444444444443,0
288,2020-10-15,15.777777777777779,17.525999999999996
289,2020-10-16,14.055555555555554,12.446
290,2020-10-17,15.5,0
291,2020-10-18,16.166666666666668,0
292,2020-10-19,16.333333333333332,0
293,2020-10-20,18.000000000000004,2.794
294,2020-10-21,14.61111111111111,3.8099999999999996
295,2020-10-22,16.055555555555557,0
296,2020-10-23,14.000000000000002,0
297,2020-10-24,14.38888888888889,0
298,2020-10-25,16.27777777777778,0
299,2020-10-26,18.22222222222222,0
300,2020-10-27,19.055555555555557,0
301,2020-10-28,17.72222222222222,0
302,2020-10-29,17.22222222222222,0
303,2020-10-30,16.77777777777778,0
304,2020-10-31,18.388888888888886,0
305,2020-11-01,17.11111111111111,1.016
306,2020-11-02,17.11111111111111,0
307,2020-11-03,14.166666666666666,0
308,2020-11-04,15.055555555555555,0
309,2020-11-05,18.166666666666668,0
310,2020-11-06,16.88888888888889,0
311,2020-11-07,16.666666666666668,0
312,2020-11-08,14.666666666666666,0
313,2020-11-09,13.666666666666666,0
314,2020-11-10,14.000000000000002,0
315,2020-11-11,14.833333333333334,0
316,2020-11-12,15.277777777777779,0
317,2020-11-13,15.38888888888889,0
318,2020-11-14,15.61111111111111,0
319,2020-11-15,17.166666666666668,0
320,2020-11-16,18.277777777777782,0
321,2020-11-17,18.72222222222222,0.508
322,2020-11-18,22.555555555555554,16.002
323,2020-11-19,14.722222222222221,7.365999999999999
324,2020-11-20,13.666666666666666,0
325,2020-11-21,12.666666666666664,8.128
326,2020-11-22,7.666666666666665,5.588
327,2020-11-23,6.666666666666667,10.16
328,2020-11-24,7.000000000000001,3.302
329,2020-11-25,9.166666666666666,21.081999999999997
330,2020-11-26,8.11111111111111,2.032
331,2020-11-27,7.222222222222222,1.5239999999999998
332,2020-11-28,5.555555555555555,1.016
333,2020-11-29,6.388888888888889,0
334,2020-11-30,8.055555555555555,0
335,2020-12-01,8.944444444444445,0
336,2020-12-02,6.277777777777776,3.0479999999999996
337,2020-12-03,4.944444444444444,0.254
338,2020-12-04,4.055555555555554,0
339,2020-12-05,4.333333333333332,0
340,2020-12-06,8.38888888888889,0
341,2020-12-07,6.333333333333332,2.2859999999999996
342,2020-12-08,7.000000000000001,0.254
343,2020-12-09,8.499999999999998,0
344,2020-12-10,8.055555555555555,0.508
345,2020-12-11,7.88888888888889,0
346,2020-12-12,6.333333333333332,0
347,2020-12-13,5.444444444444443,3.302
348,2020-12-14,0.944444444444446,0
349,2020-12-15,1.6111111111111103,0
350,2020-12-16,2.7222222222222214,0
351,2020-12-17,5.055555555555556,0
352,2020-12-18,5,0
353,2020-12-19,3.611111111111111,0
354,2020-12-20,2.833333333333334,0
355,2020-12-21,2.999999999999999,0
356,2020-12-22,5.555555555555555,0
357,2020-12-23,5.777777777777777,0
358,2020-12-24,6.4444444444444455,0
359,2020-12-25,7.333333333333335,0
360,2020-12-26,9.611111111111109,0
361,2020-12-27,9.166666666666666,0
362,2020-12-28,10.833333333333334,0
363,2020-12-29,1.3333333333333326,10.921999999999999
364,2020-12-30,-4.833333333333333,0
365,2020-12-31,-3.3888888888888897,0
